                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.78933,                0.78681,                 1.0703,                0.85044,                0.70071,                0.79471,                0.47926,                 1.5438,                 1.4074,                 1.6544,             0.00096215,             0.00096215,             0.00096215
                     35,                0.75355,                 0.7641,                 1.0461,                0.93023,                0.77963,                0.83846,                0.55554,                 1.4478,                 1.2053,                 1.5543,               0.000948,               0.000948,               0.000948
                     36,                0.74987,                0.74443,                  1.047,                0.94116,                0.64024,                0.74213,                0.51238,                 1.4542,                 1.3821,                 1.6703,             0.00093385,             0.00093385,             0.00093385
                     37,                0.76415,                0.82036,                 1.0544,                0.88001,                0.83044,                0.82694,                0.50182,                 1.5319,                  1.228,                 1.7256,              0.0009197,              0.0009197,              0.0009197
                     38,                0.74935,                0.75141,                 1.0495,                0.92609,                0.69329,                0.80198,                0.50535,                 1.5397,                 1.3165,                 1.6697,             0.00090556,             0.00090556,             0.00090556
                     39,                0.75741,                0.71899,                 1.0394,                0.87835,                0.75113,                0.81077,                0.51594,                 1.4671,                 1.1341,                 1.6499,             0.00089141,             0.00089141,             0.00089141
                     40,                0.69996,                0.70057,                 1.0031,                0.84611,                0.74854,                0.80911,                 0.5596,                 1.3567,                 1.1053,                 1.5578,             0.00087726,             0.00087726,             0.00087726
                     41,                0.73282,                0.71665,                 1.0271,                0.85562,                0.70611,                0.77341,                 0.5062,                 1.4834,                 1.2214,                 1.6873,             0.00086312,             0.00086312,             0.00086312
                     42,                0.70446,                0.71342,                  1.012,                0.78924,                0.71522,                0.76775,                0.46439,                 1.5894,                 1.3344,                 1.7531,             0.00084897,             0.00084897,             0.00084897
                     43,                0.70166,                0.68963,                 1.0169,                0.88962,                0.61367,                0.77398,                0.44785,                 1.6262,                 1.5982,                 1.7045,             0.00083482,             0.00083482,             0.00083482
                     44,                0.69678,                 0.6787,                 1.0204,                0.81513,                0.70641,                0.81676,                0.48815,                 1.5049,                 1.6337,                 1.5915,             0.00082067,             0.00082067,             0.00082067
                     45,                0.69457,                 0.6325,                 1.0057,                0.80948,                0.80604,                0.84587,                0.53087,                  1.472,                 1.0424,                 1.5624,             0.00080653,             0.00080653,             0.00080653
                     46,                0.68936,                0.63613,                 1.0166,                 0.8351,                0.69858,                0.81019,                0.56602,                 1.4367,                 1.1769,                 1.5632,             0.00079238,             0.00079238,             0.00079238
                     47,                 0.6945,                0.62999,                   1.02,                 0.9163,                0.78736,                0.85069,                 0.5804,                 1.3548,                 1.0832,                 1.5373,             0.00077823,             0.00077823,             0.00077823
                     48,                0.65802,                0.62145,                 1.0103,                0.80304,                0.84113,                0.86577,                0.58539,                 1.3351,                 0.9943,                 1.4809,             0.00076409,             0.00076409,             0.00076409
